post	gender
"Update on Offshore Power Off Long Island  Kim Acevedo has an   article  in Herald online entitled ""Winds of Change to Power Long Island"" (2/13/2003) reports that since the release of the Long Island Power Authority RFP seeking a developer for an offshore wind farm, various groups in the area have expressed interest in the proposal.  The article reports that:   The wind turbines would be located at least 2.5 nautical miles -- 2.875 statute miles -- offshore. The hum they produce would rarely, if ever, be audible from shore, officials said. ""This site has been chosen very carefully,"" Lowndes said.  The height of the wind turbines, with one blade straight up, would be approximately 360 feet to 428 feet above the surface of the water. They might be visible from shore on a clear day, Lowndes said. The park would have between 25 and 50 turbines that would produce a total of 100 to 140 megawatts of electricity on an optimal day.  The described location of the proposed wind projects within three miles of shore places them in state waters (which extend three miles from shore) and thus, avoids the jurisdictional, ""who owns the land"" squabble jeopardizing the Cape Wind Project off Nantucket as we've described in other posts.  More information on the RFP is available  here  at LIPA's website."	f
im growing my sidies back. ive decided. just call me DCI Burnside. theyre gonna be bigger and badder than ever. extra long and ever so furry. Lambchops to be proud of.	m
"""Most people don't know there are angels whose only job is to make sure you don't get too comfortable,"" she said.  ""They know how easy it is to fall asleep and miss your life."""	f
finished all my appendies......  i think, still got the main report to do, then the rest.....finish. aii.......i tot it will be easy to do it but it is not. 200++ pages of report not including all the codes. if include the codes, maybe over 400 but i think around 300++ pages or report.  last few weeks, i have been reading journals and case studies. it was very interesting, real ppl putting their thoughts in a research paper. like the telemedicine, issues on it, telerobotic.....wat will happened, the rules.......asimov 3 rules of.............robot can do this, cannot do this, can do this but cannot break this...... it was very interesting. some of the cases where the machine zapping those cancer cell went wront cos the reading device gone kaput. so........over dose, thousands of time overdose and in the end.......ko. then the privacy issues, it was nice to learn so many issues after the 9/11........ now i know why ppl wrote journals.  but then some english is so advanced, i have problems understanding it.	m
you won't see me surrender, you won't hear me confess, 'cause you've left me with nothing, but I've worked with less...	f
Perspective   It's something I don't even think to do very much. Sometimes I find myself standing in a different spot in my home, a place I don't ever stand or go. Maybe it's the corner of a spare bedroom you don't visit much during your busy life routine, right where that chair used to be. And suddenly you wonder why you've never stood in this spot before in your own familiar home.  And somehow everything seems a little different. You can really trip yourself out this way.	f
nope ceci didn send me anythin just that she told me she sent u one!!! oh well who cares!!! EXAMS R OVER!!!!!!!!!!!!!!!!!!	f
"We sincerely apologize for Mara. She’s just a bit dramatic in her storytelling. We love her dearly, but she tends to be a little… overzealous. I think that it might be time to introduce ourselves and tell a little bit about why we came to be here; and why we’re sharing our stories.    We must conceal some detail of ourselves and our work in order to protect our own lives and keep our operations safe for the future. The three of us make up the world’s last and best defense against the evils of the world. Revenant vampyres occur all the time. We try to be careful in our breeding and our seeding of humans; however, its not always possible to know beforehand how these things will turn out. Occasionally, we must strike down one of our own kind in order to preserve the natural order of things, and our way of life.     My name is Ireth. I was born a long time ago, under another name, during a time when Egypt was a fairly young land. I was human then, and a priestess, of a goddess who's name has long since been forgotten. She was a Mother, a nurturing presence of the Earth. I have lost much of my old religion, but I do believe in Her still, and I hope she hasn't forgotten me. To go through my entire past would take much more time than the humans who will read this have to live. I will tell you that I have punished myself for my existence far more than anyone else on this earth ever could have. But I no longer believe that I am evil by my very nature. I have learned much over these many years of myself, and the world in which we live.     I have been a priestess, a beggar, a Lady, a singer, a festival performer; I was even a queen, once. Now, I am proud to tell you that I am part of something much larger than myself. We call ourselves Dante's Demons after the fictional character who traveled through Hell. We named ourselves this because the three of us have all journeyed through our own personal hells and come out the other side, not only stronger, but extraordinarily so. I'm very proud to say that where I once spent centuries wandering through time aimlessly, I now have a purpose. My purpose is to protect those weaker than myself and uphold the name of good wherever I can.     Some of you may be wondering... You must have figured out by now that I am a vampyre. I was born more years ago than I can remember. So why, when history has painted my entire species as evil, would I ""uphold the name of good""? Ah, because Mara was correct, of course. Not everything is as the stories speak of them. Just as not all humans are good, not all of my kind are evil. Actually, good and evil are relative ideals. Some of my kind even believe that good and evil are myths thought up by the human mind. I, however, believe very much in good. Perhaps that's just because I want to believe. I want to believe I'm good. And I want to believe that when this world is done with me, then I may go home to my Goddess and be content until time and the world end.     I did not mean to spend such time here, but it is cathartic to speak to you all after so much time has passed. I have much to bestow upon the world; but even I cannot do that all at once. Mara, Symone and I have work to do this evening. Perhaps one of us will even tell you about it when we return. Farewell until next time and remember:        Damnant quod non intellegunt.          ""They condemn what they do not understand."""	f
"Well, I wanted to tinker with a blog setting or two just to see the effects before I made this public.  So now, tinkering complete, I'm satisfied.  I used to know a goodly amount of html, but that was for the two weeks I had to write a web page for my Advanced Programming class in college.  The page got an 'A', but the knowledge got the boot.  Making room for such vital information as the distance of Earth from the sun and lyrics to songs I am ashamed to mention.  Anyway, so it looks like my initial entry worked just fine.  Not that this is brain surgery, but sometimes it's a nice feeling when something (technology to be specific) works the way it should.  Perhaps it is my recent dealing with a particularly irritating piece of tech-ery that makes something as simple as a web page successfully updating seem like the discovery of fire.  The culprit is DirecTV.  I have (or had) them as my satellite service provider.  The system was installed last year, though they had to drill a hole or three through my walls--rather than patching through the existing cable--to get things to work.  Well, things have been mostly fine, with the exception of a garbled signal when it rains... or looks like it may rain... or when I say the word ""rain""...  But anyway, the past few weeks have been exceptionally bad regardless of weather conditions.  It was as if scrambled porn and a turn table with Tourette's had a love child on every single channel.  Anyway, so I made a service call and the guy says, ""Yeah, this should never have been installed here.  Your trees in the backyard are directly in the dish's line of sight.""  Yeah, a little irritating.  Well, he suggested that I could raise the dish, but I would need to check with my Home Owner's Association.  Fine.  That makes sense.  Oh, and I have to buy and cut a special fencing pipe myself.  Less fine.  Less sense.  But I'm still amiable.  So I do all of the above and reschedule a service call.  The man calls at the beginning of when he's supposed to be there asking if I had permission and the equipment.  ""Yes, that is what I was told to do and why you're scheduled to come out.""  Then he claims that ""they've"" got him all over the place today so he might not make it.  Well, sorry, but am I not one of those places?  He had from 1pm to 5pm and I had plans at 7.  So 5:30, still not there and I call to tell him forget it.  I call DirecTV and see if they can make an appointment on Sunday which they can't because that's special and handled locally and blah blah... things I understand, but am too irritated to care about.  Then on top of that, he mentions that the comment on the work request says I needed to have permission to raise the dish ""in writing"" from the HOA.  What!?  More hoops to jump through.  More irritation.  The customer service guy tries to say how bad he's got it because he has to open the window in his apartment on cloudy days.  I try to care, but fail to.  I spent the rest of the day pondering if it was worth it.  And then the answer came to me.  As I was flipping through the 99.9% garbled junk, one channel comes in clearly.  It was running the movie "" urlLink From Justin To Kelly "".  Fortunately the sound was muted, but even in closed caption it made me a little sick to my stomach.  This is when I realized that things just weren't going to work out between me and DirecTV.  I called, got my service disconnected as of midnight that night, and the next day in the mail got a promo to ""Ditch The Dish"" and get $400 from  urlLink Comcast  cable, which is what my neighborhood is prewired for.  So... life sucks for a short period of time, then things change to make it even--if not slightly better.  I suppose that ""crappy satellite reception"" runs low on the list of the world's problems, but there you have it."	m
Broken Social Scene @ Louis - March 7th. Write that down.  Yay! Missed them last time because I wasn't hip enough to know who they were.  opening will be The Stills, I heard their song on CFCR the other day. They are to Interpol what Pilate is to Radiohead.	m
I'm back from Junior Miss! YAY! First, I'd like to start off by saying that my good friend KARA GIROD is the 2005 Oregon's Junior Miss! She has announced me as her personal trainer. I am very excited about that!  I have a lot to say but I don't really feel like saying it all. So I'll just say a few things. I had a great time, we went to Nike which rocked. I seriously want an internship or something there.  Also, I have said 'seriously' and 'definitely' way too many times to count this week. The insanity must stop.  The girls were all pretty cool, and ALL of them had some amazing talent or personality trait, it rocked so hard. I got pretty close with a few girls...  Kellianne was my roommate, the one everyone wanted to meet because she is very good looking. She's really nice but was definitely there to win. And because I am the devil, I got a lot of pleasure out of telling her how amazing Kara is, knowing that she would then see Kara as serious competition. I also got a lot of pleasure when Kellianne placed second to Kara. Oh the joys.  ( I just reread that paragraph - I said serious and definitely... I  told  you I have a problem...)  Erin is an Mormon girl from Salem. She was really funny and I got along with her really well. There were four Mormon girls in the competition, yet only three modest dresses... curious. Anyway, Erin was a blessing to me because we held pretty much the same view of the competition, and she knows Addison! So, we get to hang out very soon :)  Sara and I constantly talked about mashed potatoes with garlic and potato salad. If you don't know what that means, you'll have to ask me in person sometime. We also talked about Lester the Molester, the guy who sang... and winked, and whispered in our ears and checked us out. He was the creepiest of the creepy and we were supposed to flirt with him on stage! I think not. We had a lot of fun talking about potatoes and Lester.  Jennifer got the overall scholastics award, and I was so proud of her! She works so hard for her grades, she deserves it. I overheard another girl talking about how she was kind of surprised she didn't get that award, and I just thought to myself, Jennifer probably won by a landslide.  My host family was a lot of fun. All week long their 14 year old boy had a thing for Kara. He didn't really but he thought she was pretty so we teased him about it. And I had a really cool conversation with my host mom, she has a very interesting perspective, especially about how my mom must feel and stuff.  Sil said my interview went really well, which is great, coming from Sil. They kept giving me really hard questions, asking about voting and gay marriage and why I would ever want to go to BYU. I felt like I was defending myself the whole time. It turns out, the harder the questions the better interviewer they think you are. So, thats pretty freaking rad.  A lot of things rocked this week. Still, a lot of things did not. And it is odd how I have changed just by spending a week with a bunch of girls. I look at a lot of things differently and I really appreciate some things now. Like some of the friends I have here at home. But I will miss all the free stuff I got. Those were good times...    Sky rockets in flight... afternoon delight...	f
clubbing on 7th May anyone? heh	m
urlLink    This is where I would like to be going today. Across the wooden bridge to the Island on the other side.  I would hope that no one else is there and that I could make the bridge disappear so I could enjoy a few moments of solitude and relaxation.  Shhh, its my dream, dont awaken me... urlLink	f
"Hi I'm here and it's only 10 school days until my winter vacation or only 8 or 9 if you consider one day we will have a full movie day because lots of people won't be there because of a volleyball game all day and another day we'll have a winter presentation for the little kids  . So really it's only 8 days . Oh yah I forgot to tell you my grades for school well all you need to know is that I got all ""A""s except for one crappy ""B+"" in french . And it also it occurred to me that nobody is reading this GOD DAMNED blog so I don't care about me I'll just     crawl into this corner . Hmm.. Wonder if they bought it  oh damn I'm still typing . Well good bye to any one who's reading"	m
"Folks, sorry it has taken so long to post an update... too busy skiing, boozing, and well... uh...other misadventures that I always seem to get myself into while in the mountains.  Let's see... where to start...   urlLink Boy  with a broken neck told he is madly in love with me. And he told me the cutest thing ever: ""F, it's more than love... lemme explain... you know when you're out sledding all day as a kid, and you come home and you're tired, wet, and cold, and your mom gives you a cup of hot chocolate? THAT's what you make me feel like."" What could I say to that? We talked all night long.. and I went home with someone else that night. Oops. All I have to say to my horrid behavior is... well, why do I keep on hooking up with Bartender when it's SO BAD? I have lots of theories, but the easiest thing right now to write is that I love taming the bad boy in him. Fun.  What else? Some of my buddies are building a fire truck (long story here). but anyways, they got it stuck going up Greene Peak. The snow was 8 feet deep and they couldn't get it out. They had to go up and get it while the snow was frozen, if not it wouldn't pull out through the slush. So, 8 people and 3 dogs piled into two jeeps armed with 28 thousand pounds of pulling capability between the two wenches on the jeeps at 2 in the morning, after we had been drinking since 10. We head up the mountain and some dumbass texans were stuck in the snow. theyw ere in 2-wheel drive. we pop them out of the snow. go further and further up the mountain and there was another two-wheel drive pickupstuck. We get them out of the snow. Then the tough job came. We had to wench our fire truck out. Anyways, won't bore you with the details, but we finally got it out. i helped wench, push, pull  dig snow. I was pretty proud and all the guys thanked me for my help. i had a blast! got home @ 6 am.  what else? mmm... lots of free booze. lots of skiing in short sleeves-- it's so hot, i have an awful farmer's tan! oh yeah, then last night i hooked up with Red Headed Boy. Mmmm... I haven't slept more than 3 hours a night since i've gotten here. We pulled two all-nighters two nights in row. Lots of booze, cigarettes, and hottubs helped.  Dont know what else to say now... oh, funny quote: Bar owner, talking to 2 chicks, ""You two are cut off. Out of the bar."" My buddy Juanito, chugging his beer, ""That's my cue!""  Also, the night bartender  I hooked up, I had a talk with him. Before we ever hooked up this summer, we used to hang out. all was good. Post-hook up, he started acting like an asshole. so when i went back to his house, i told him that if he was going to be an asshole to me that to me it wasn't worth hooking up with him at all. he said he hadn't realized it, and from them on, he's been super-nice. haven't paid for a drink since i got here. oh, the joy of walking around buzzing all day.  been skiing pretty hard-core, too. with the local boys. they really push me. i fell face-first the other day, my first fall in a long time, and the snow now is so sharp, i cut my whole hand and arm. oops. i drank to make the pain go away. also, there was a race in town the other day. locals ""bought"" a racer, and if their racer won, they got money. the auction was to raise money for the kids' racing team in town. a couple of us pooled our money and had 60$ put together to buy my buddy RP, but we were outbid. the funny part is that he raced in a red, flowery SKIRT and my tight, white tank top. When it came time to announce the winners that night, it was funny. ""Best female time, RP, come and get your award!"" haha.  i'll quit boring everyone with my mountain stories. time to go drink anyways!"	f
"once again i don't wanna post, i just haven't done it in awhile.Tonight seriously sucked. Although i was with jamie n amanda, we were having fun when it was just us. Ugh i don't even wanna talk about the rest. But anyways.. i've just been babysitting during the day, and thats never fun. Jamie and I brought Colin to the pool, and were trying to teach him to swim. It was funn. But whatever, i'm gonna have my nightly devil dog, and then go to sleep. Hopefully tomorrow will be better?..i doubt it though       ""..is pointed straight at your heart.."""	f
man i went to class. of cousre i was tardy like always. then i\ when i got to the crib my nigga charleston,austin and killa mike came over. we whooped some ass in basketball then went swimming. we played ball again and the guess what, went swimming again. then we played aroud til bout 9 oclock. this guy austin likes to masterbate so he took a break b4 we got on the net. it is almost 12 and theses niggas still at my house.this guy is sleep on the couch and snoring. well my first day on the blog wasu a success.  i wonder what will happen next	m
This is so cool!  I have never done anything like this before.  Just another day in my quest for a new job.  I absolutely cannot go on working at Walmart anymore.  I don't care what I have to do, but I will get out of there one way or another.  They seriously need to learn how to treat people and maybe they wont have such problems keeping associates.  One year is enough for me thank you very much.  So anyway no word yet from JHFCU, but I am keeping my fingers crossed for tomorrow.  On Wednesday I have a test scheduled for another bank, but I really REALLY want JH.  Guess thats all for now.   Jenna	f
Pretty good movie... Loaded with emotional stuff.   The female actor has a non-curable disease, falls for a womanizer, womanizer turns into nice guy, falls in love with the dying lady, some drama and finally a long climax.   Cenrtal Park at NY had been captured beautifully in the movie although this is not the first movie which tried to capture the entire park.   Some characters like female lead's grand ma don't add much value to the movie.  Overall a recommended movie ut I would advice to keep some tissues at hand.  These guys are better than the Indian directors and story writes who for the sake of making audiances happy make an really impossible operation successful and even bring back life to characters in the movie after they have been declared dead. The funny part is it's not the doctors who revive the actor. Most of the time it's other actors' hue and cry that brings back life to the character. If that does not work some deity would be kind enough in the movie so that it grnats life back to the character. The actor gets up from the death bed and goes and kills the bad guys. Great ending.   Actually these guys are also not at fault. The movies where the lead character dies in the end have not been successful at the box office. For instance Dil Se was a disaster at box office. But it was one of the best movies I ever got to see. More about Dil Se later...	m
A phone call from nowhere.  Bryan, aka Bryrox, called me last night at my parents house, leaving a message on my folks machine.  I havent heard from this guy in years.  Always wondered how he was getting on.  A troubled soul, into all sorts of illegal situations from drugs to a history of theft and violence.  His father was a monster, and when he died, he threw a party.  Turns out he was in jail for a spell.  Tackled by the DEA and sent to a 6month stint in a detention facility, followed by a six month residential drug treatment center up in Fresno.  Hes out now, looking to start a new job in Arizona near the Grand Canyon next week.  Part of his punishment, I gather, is to stay away from taking up residence in San Diego for five years.  Shoo the problem away, I suppose.  So, tomorrow we may be having dinner together and catching up.  To hear about his schooling that so excited him, to hear about the family all that has transpired in all this time he has been incommunicado.  No more flutters in my stomach knowing that a night with B means a night with something a lot harder than weed to accompany it.  Just the thought repulses me.	f
lalala  Basketball sucks.  Andrew Yang rocks for giving me the Offspring CD, useless weekends are boring but nice... i hope it snows, monday i get electrodes to play with  -_-  weeee  i realize i make no sense and don't particularly care  screw capitalization  i have like fifty christmas presents for ppl and dont know who to give any of them, maybe ill make like a list and you can choose what u want haha	f
"One of the saddest things in this country (Iraq) is that the people have NO clue what freedom of anything is.  Yes they are proud and are slowly learning not to behave so subserviently,  but the last 300 or so years have been under a tyrant or colonial rule.  This hits close to home for me because my family escaped Cuba and ran at all speed to the U.S. starting in 1959 The last of my family came in 1981.  So helping these people begin their lives and nation anew is very exciting and depressing.  Depressing because I see Americans not aware of their fortune in this world.  The poorest person in America has food,  a home,  electricity,  most have cars.  Here they live in 1,000 year old husks of buildings,  have raw sewage running in the street,  barefoot(not by choice) 2 year old children,  and a class of terrorist that kills 100 civilians to soldiers killed.  So what is my complaint,  you are to comfortable.  You complain about the drive-thru,  the cable TV reception,  can't find your damn $150 sneakers in blue,  and voting.  Dozens of countries around the world have had revolutions to do the same thing you complain about doing once a year.  I can bet most of you would not die for the right to vote.  But you bitch all day about Bush,  Clinton,  Nixon (most of you don't know what he did),  the economy,  the environment (come see how others treat their nations resources),  and the war.  I haven't seen many of you here.  An uninformed choice is no choice.  How can you talk about a place or an experience that you have never experienced.  I had a t-shirt when I was in Korea that said ""Korea,  if you ain't been there SHUT THE FUCK UP.""  Everyone will tell you how bad Korea is and have never been there.  Before you start to complain or talk about something get all sides.  I swear to god when I get home the first person I hear complain about not having enough ice in their Coke is getting laid out.  You people better start looking at he rest of the world and seeing how lucky you all are or you will wind up like this place.  Do we as Americans have the right to complain,  of course,  that's part of our revolution.  But seeing a dead child from a terrorists car bomb will make you reassess how much ice you really need in that drink."	m
My work week has come to a end. Hours to long from where it should be. I have gotten the good news that I am off to Saskatoon in August. I am looking foreword to spending some time with Renee and Taylor. It looks like we will be leaving Friday afternoon and returning early Sunday morning. I think we all need a break from home for a few days.   My Buffy Duvet Set with a pillow case came it last night.I also gotThe Watchers Guild Volume3.   And with thatthought I am off to read... Be well......    Tyler if you are reading this call me......  Michelle we need a sushi date...  Wendy.. I am almost done my listof20 questions... Are you?  Karen...May sleep find you swiftly tonight...May it be a dreamless sleep....	f
I have become one of the people I really hate in life. I am one of the people who tell others about their private life. I think I want to tell because of an unconcious thought process of people calling me prude. If I can prove to them that I'm actually doing things, then that wouldn't make them think that. But that's not really it. My other reason for wanting to tell is that it makes it real. If I am the only person who knows what is happenening, other then the guy, then it's just us knowing and ya. I guess it's hard to explain.   Walked at Relay For Life this afternoon since it was cancelled due to storms last night. My dad is coming home soon. Blah. I have a shitload of homework and I don't have any time to do it tomorrow since I'm going to see a play in the evening. Great, the week seems packed already. Band concerts, work, seniors leaving. Tear for that. Among other things. We'll see I guess.	f
100th post. Yay.  Saw Starsky  Hutch yesterday. I pretty much agree with  urlLink Kaimar's  opinion. Pure entertainment, nothing less, nothing more. Reminded me of GTA: Vice City. A new emerging entertainment genre, i suppose. Lots of seventies eye candy and such. They had really paid attention to small details. All the minor stuff you could see in any given scene. I think they might even have overdone it a bit, but it was good nevertheless.	m
"Continuing with my hit list. B, u r a genius, this is a great idea and a good waste of time. =D=D Not like you'd read this lol! ha thas funny. Oh! and thank you Jo for waking up so we could watch movies!! Its was awesome!  6. People who have every conversation all about them. Okay, for people listening who aren't also talking about themselves it is pretty boring, open your eyes and look around. THEY ARE YAWNING!  7. Those people who think they're being nice when they say hello on msn and dont say another word. 8. Me, cause i just annoy myself and others sometimes by inconsiderant things that come out of my mouth. Even though people say I don't, I do and I notice it. 9. People who say I should swear more. FUCK OFF! is that enough for you? Now I shall refer to my ""sugars"" and ""far out"""	f
Yeah, but then you would have laws passed against attempted flag burning and impersonating a flag  (TIC)	f
Yes,Drei and i have our own share of problems,but that does'nt stop me from loving her any less.I love her more than anything and anyone.Why?She has given me more than what i wanted and expected from her.She is the source of my happiness.She is my life.If i lose her,no more happiness,no more LIFE.I need my baby Drei.I love her more than any other ive had.I have never loved anyone this much.She's the only girl i cry'd for when i missed her so bad.I really have the desire to be with her.I need her presence.I need her love.She gives me strength to do whatever i want.She takes away my fears.Except the fear of losing her.I never want to lose her.I ant to keep her forever.Shes the most precious and valuable thing in my life.She is my treasure.And i would go through any hardship as long as i can keep my baby.I am ready for anything.I am ready to defend my love for Drei.I am ready to fight for our relationship.I am ready to fight for her.I will love her always.	m
"""This is not a novel to be tossed aside lightly. It should be thrown aside with great force.""  -- Dorothy Parker  Thanks to  urlLink Andrew Careaga  for the link.  He also mentions a link to  urlLink more Dorothy Parker quotes ."	m
I thought it would be fun to change my template.....but now I am so sad because I can't figure out how to add things to my sidebar like my fun links :(	f
well, say goodbye to Rocktober and say hello to Blow-vember	m
Yesterday was extremely productive. I read at least 150 pages and did some research. I also beat Arcanum in a quick run through.  Listening to a lot of  Sublime  this morning.  ***	m
It has been a long long wait since me and Ms Kacheek last left Singapore for an oversea trip. Last went to Seoul in July 2003. Phuket, here we come!     urlLink     Me and Ms Kacheek on the plane to Phuket! Yeah! urlLink       Touched down on Phuket around 4pm.A 1 hour journey ona mini-bus to our hotel at Patong Beach. Went to find food and wander around Patong Beach. A bit scary as we don't know our way around. Had first time experience trying to bargain.     urlLink    urlLink    Ms Kacheek having beef bee hoon at a roadside stall urlLink        urlLink     Me having pork bee hoon.. yummy man! Added lots of chilli powder. Hot man! Kept perspiring! urlLink       urlLink     Ms Kacheek posing in front of the roadside stall.. its looks so unhygenic hor? But the food is great! urlLink       urlLink     Took a snapshot of the night market.. looks happening? Things there are damned ex man. Chop veggie head! Need a lot of bargaining skills! urlLink       urlLink     This is the famous Banana chocolate pancake that is available from Phuket only. Super yummy man! Super sweet! Nice nice! Still thinking of it right now! Cheap Cheap! 25 Baht only!  urlLink       urlLink     It looks like the roti prata that we can find everywhere in Singapore.. But it taste so unique.. yum yum! urlLink	m
maths paper over... 15 days to sweet freedom...	m
"-After going to see a late night viewing of 'The Village', that is the only thing that I am taking away from the movie. This costume, though looking impressive, should be fairly simple to construct. I suspect even someone without any modern conveniences, would be able to make a fairly convincing 'bad color' costume. (eh-he.) I really enjoyed the characters that M. Night developed for this movie...too bad he used them in such a poor story. Fortunately, since I have a ten dollar a week comic book habit, I am used to writers putting good characters in bad stories. (Now, all of you assume I look like Louis Lane [the comic-book guy], on the Simpsons!) That's o.k. Until tonight, I assumed that all of M. Night's movies would be really upsetting, with imaginative twists. If I could get a couple of my friends to run around me, in yellow shawls and parkas...now, that would really be amusing. At least in comic books, good writers can make poor characters seem really imaginative. Superman has been great since Azz' began scripting a few months ago. 100 Bullets has never failed to impress me. GA has survived some of the worst writers -and artists of all time. Daredevil had been recycled for over twenty years, before Bendis took over. I enjoy Hellboy, Sam and Twitch, and even this 'Identity Crisis' in DC...but I still don't look like that fat guy on the Simpsons. -I look far worse. Think -Moe, that guy behind the bar. That guy, dressed in a 'bad color' costume...that is what I look like. Not only am I an ugly character...I am also a poorly written character in a really great story. ""Worst character ever!"""	m
"In Shoaf's latest blog, he vastly oversimplifies the social issues that are in play during the 2004 presidential election.  This is a common mistake that the general population makes all too often.  There are many more social issues at stake than soley ""abortion"" and ""gay marriage"".  If you are deliberating between Bush and Kerry on social issues alone, you also have to ask if you want to have more nanny-state, environmentalist-activist social regulations, such as the cell phone bans which Coleman pointed-out and toilets that won't flush, and you also have to ask whether you want to be subjected to racial preferences, a radical secularist agenda, and ""social justice"" policies out the waazooo.  Kerry is a nightmare on all of these fronts.     Now to digress to the main point of this blog.  The terms ""abortion"" and ""gay marriage"" are ambiguously thrown around much, too much, to do justice to the actual, nuanced debate on more specific issues that exists today.  Where we stand on ""abortion"" and where we stand on ""gay marriage"", would more appropriately be considered where we stand on ""abortion-related policies"" and where we stand on ""gay marriage issues"".  If what you mean by ""abortion"" is overturning Roe, then people need to realize that even with Bush in office, Roe will not realistically be overturned in near future for a number of reasons.  First let's have a little historical background.  Justice Blackmun, a Nixon appointee, wrote Roe.  O'Connor, Souter, and Kennedy all Republican appointees vote to uphold it.  A significant percentage of registered Republicans and Republican officials are pro-choice.  The bottom line is that Republican appointees, and Republicans in general are far more pro-choice on the whole than what's written in the Republican platform and just because Bush might get a chance to make some appointments, doesn't mean that his appointments will overturn Roe.   If Bush does get the chance, the most oft-speculated as the next to retire is Chief Justice William Rehnquist.  Rhenquist is the most staunch, pro-life presence on the court, and Bush would have difficulty replacing and would be loath to do so for obvious political reasons. Political concerns, along with Generational and demographic ones, not to mention fervent Senate filibustering, would be exceedingly prohibitive to appointing an equivalent justice.   White House Counsel (Bush's top legal advisor at present) Alberto Gonzalez, who demonstrated pro-choice inklings while presiding on the Texas Supreme Court, is widely considered to be Bush's top choice to fill any court vacancy, and become the first Hispanic Supreme Court Justice.  Ironically, Bush could very well appoint someone who could acutally strengthen Roe!   Next in line to become Chairman of the Senate Judiciary is Republican R.I.N.O, Senator Arlen Spector from Pennsylvania, who is unabashedly pro-life.  The Chairman and the committee have more influence over nominations than Bush, himself.  This means that, if they don't approve of a Bush appointment, then the appointment is pretty well screwed as evidenced by Miguel Estrada, Charles Pickering, Janice Brown, and the list goes on.  Democrats and ""pro-choicers"" have been applying an ideological litmus test and there is no way that they would let too many, if any, justices through to the Supreme Court, who would upset the balance of the court on this fragile issue to the breaking point.  People need to realize, ABORTION AINT GOING ANYWHERE!!!   Not Only is Roe not in danger, but the court as a body has repeatedly indicated that it is not looking to readdress Roe, regardless of what individual justices think about the abortion.    Again, the bottom line is that the right to an abortion will not be endangered by Republicans or President Bush any time soon, so pro-choiceers can vote for Bush and everyone else can be free to abort as many unwanted preganancies as they so desire.   Why do you you ask then, does John Shoaf and so many other Americans make the mistake of thinking that the basic right to an abortion is in jeopardy?  The answer is the pro-abortion lobby is much, much, more heavily funded and heavily staffed (as compared to the pro-life lobby), and is more widely accepted (though not by any means mainstream).  The pro-abortion lobby and pro-choicers in the media rountinely use scare tactics to cow pro-choicers into voting for Democrats, even though ""Abortion"" is not really at issue.  Without the pro-abortion lobby, Democrats are without one of their most effective lobbies, and without misinforming the public that abortion is constantly ""under-siege"", the pro-abortion lobby is out of a job.  As for what is really at issue, I support everything Bush has done so far reagarding abortion, which could be considered ""pro-life"" initiatives.  He signed the bill to ban 3rd-trimester, partial-birth abortions, the Unborn Victims of Violent Crimes Act to increase the penalties for those who commit crimes against pregnant mothers, has vowed not to employ a litmus tests (as in a pro-life one) on judicial appointments, has upheld the principle that the government shouldn't fund abortions, and has supported a loose form of parental notification for minors.  To the glee of diehard ""pro-lifers"", polls indicate that a majority of Americans also agree with these common sense ""abortion restrictions"", as they are sometimes called.  So in conclusion on the topic of abortion, whether you are ""for"" or ""against"" abortion is not the question you should be asking yourselves.  George Bush is the more logical vote for the vast majority of voters, pro-lifers and common sense pro-choicers alike.  I am for Bush's ""abortion-related policies"" fervently over Kerry's.  Moving on to Gay Marriage.  I take Jonathon Rauch's point of view-that the country's stand on gay marriage should not be coerced by an activist court, but rather left-up to the states and more democratic legislatures and referendums.  As I see it, there are two main issues at stake right now 1) Activist Courts 2) The Proposed Constitutional Ammendment.    The constitutional ammendment is not a threat, because it doesn't stand a chance of being ratified.  Any serious political analyst would agree.  Rather, the ammendment is merely reactionary, posturing, a direct reaction to the activist judges in Massachusetts.    If the ammendment did pass, which it won't, then it wouldn't ""ban"" gay marriage either.  It would merely enunciated that nothing in the Constitution can be interpreted to necessarily allow for gay marriage.  Then, it would again be left-up to states to decide the issue, but this time without the threat of coercive legislation from the bench.  Activist judges on the other hand are threatening, and not just on gay marriage, but also on a whole other wide array of issues.  If we elect Kerry, he will appoint activist judges and that would be very bad.  In conclusion, Elect Bush for two reasons, among many others:  1) He is the logical vote for ""rational"" pro-choicers, like myself.    2) He is better on gay marriage, even if you are accepting of it long term like I am, but realize that you don't want to have the issue dictated to us by some rogue judges in Massachusettes and realize that a new constitutional ammendment to ban it is pie in the sky.  If you have read this far, I thank you and I hope that it gives you new, more informed way of viewing the issues of abortion and gay marriage as they relate to the presidential election.  Vote George Bush in 2004!!"	m
So I quit typing and the damn thing stopped, but now it's going again. Stupid computer. Just about to hit the half way mark.  There, did you feel it?  I did, and boy, did it feel good:)  (Never mind the dork behind the controls folks, he's just a bit sleepy)	m
urlLink     The purpose of this game is to control the roller coaster ('S' to decrease speed, 'K' to increase speed) to travel along the track and give as much excitement (represented by no. of hearts) as possible to the passengers.  Be careful not to throw all the passengers out of the roller coaster! Anyway, it is fun to do that, isn't it? =P	m
